Rubicon,Dynamic Fund,AssetAllocation,Systematic,Diversified,Global
Rubrics,Global Fixed Income,LongOnly,Active Index,Diversified,Fixed Income
Ruffer,Total Return,Hedge Fund,Discretionary,Multi Strategy,Global
Runestone Capital Limited,Runestone Capital Fund,CTA,Systematic,Short Term,Volatility
Russell Inv,Russell Inv Strategic Call OverwritingFd,AssetAllocation,Systematic,Option Strategy,Equity
RV Capital,Asia Opportunity,CTA,Discretionary,Fundamental,Asia
RVI Partners LP,RVI Partners LP,CTA,Discretionary,Market Neutral,Energy
RWC,Pensato Europa Absolute,Equity LS,Discretionary,Fundamental,Europe
Rymer Wealth Management,Diversified Futures (Prop),CTA,Systematic,Trend Following,Global
SA2 Advisors,SA2 Bellwether Core,CTA,Systematic,Fundamental,Global
SA2 Advisors,SA2 Bellwether Plus,CTA,Systematic,Fundamental,Global
SAA Management,Strategic Asset Alliance LP,CTA,Fund of Funds,Diversified,Global
Sagat Capital,Diversified Systematic,CTA,Systematic,Short Term,Global
Sage Valley Capital Management,Sage Valley Capital Management,CTA,Systematic,Trend Following,Global
Salient,Salient Tactical Growth,Equity LS,Systematic,Multi Strategy,US
Salient,Salient Tactical Plus,Equity LS,Systematic,Tactical,US
Salona Capital,Standard Program All Commodity,CTA,Systematic,Multi Strategy,Commodity
Salus,Alpha Directional Markets,CTA,Systematic,Trend Following,Global
Salus Alpha Capital,Commodity Arbitrage (CAX),CTA,Systematic,Market Neutral,Commodity
Salus Alpha Capital,Directional Markets (DMX),CTA,Systematic,Trend Following,Global
Salus Alpha Capital,Global Alpha (GAX),CTA,Systematic,Multi Strategy,Global
Sandbar,Global Equity Market Neutral (Lumyna),Market Neutral,Discretionary,Fundamental,Global
Sandler,US Equity (Lyxor),Equity LS,Discretionary,Fundamental,US
Sandpiper Asset Management,Sandpiper Global Macro Program,CTA,Discretionary,Multi Strategy,Global
SandPointe Asset Management,All-Seasons Strategy,CTA,Systematic,Multi Strategy,Equity
SandPointe Asset Management,Fundamental Value Strategy,CTA,Systematic,Multi Strategy,Equity
SandPointe Asset Management,Opportunities Strategy,CTA,Systematic,Multi Strategy,Equity
Sanlam,Managed Risk,LongOnly,Risk Parity,Enhanced Index,Equity
Sanlam,Real Return,AssetAllocation,Discretionary,Diversified,Global
Sapelo Asset Management Corp,Sapelo MS Divers.,CTA,Fund of Funds,Diversified,Global
Sarson Funds,Blockchain Momentum,Crypto,Crypto,Crypto,Crypto
Sarson Funds,Fifth Khagan,Crypto,Crypto,Crypto,Crypto
Savernake Capital,Futures Program,CTA,Systematic,AI,Global
Savernake Capital,FX Program,CTA,Systematic,AI,Currency
Savernake Capital,FX Program - MAP,CTA,Systematic,Multi Strategy,Currency
Savernake Capital,Savernake FX Fund,CTA,Systematic,Multi Strategy,Currency
Saxon Investment Corporation,Aggressive Diversified,CTA,Systematic,Trend Following,Global
Saxon Investment Corporation,Diversified,CTA,Systematic,Trend Following,Global
Scalae Management,Diversified Trading Program,CTA,Systematic,Trend Following,Global
Scarabaeus Wealth Management,Quant Infinity - Formiga Trading,CTA,Systematic,Multi Strategy,Global
Scharf,Scharf Alpha Opportunity,Equity LS,Systematic,Value,US
Schindler Capital Management,Dairy Advantage Program,CTA,Discretionary,Technical,Agricultural
Schindler Capital Management,Grain Advantage,CTA,Discretionary,Fundamental,Agricultural
Schindler Capital Management,Institutional Dairy Advantage,CTA,Discretionary,Technical,Agricultural
Schindler Trading,International Equity Plus,CTA,Systematic,Multi Strategy,Global
Schot Capital Limited,Multi Diversified Program,CTA,Systematic,Trend Following,Global
Schroders,China Local Currency Bond,LongOnly,Discretionary,Fundamental,China
Schroders,European Alpha,Equity LS,Discretionary,Fundamental,Europe
Schroders,Gaia Helix,Hedge Fund,Fund of Funds,Diversified,Global
Schroders,Global Equity Market Neutral,Market Neutral,Systematic,Multi Strategy,Global
Schroders,Isf Alternative Risk,RiskPremia,Systematic,Multi Strategy,Global
Schroders,Isf European Equity,Equity LS,Discretionary,Fundamental,Europe
Schroders,ISF Global Target Return,AssetAllocation,Discretionary,Diversified,Global
Schroders,Schroder AS Commodity A,LongOnly,Active Index,Diversified,Commodity
Schroders,UK Absolute Target,Market Neutral,Discretionary,Fundamental,Europe
Schroders,UK Dynamic Absolute,Equity LS,Discretionary,Fundamental,Europe
Schwab,Schwab Hedged Equity,Equity LS,Discretionary,Fundamental,US
Sciens Capital Limited,Amber Epsilon Cell,CTA,Systematic,Multi Strategy,Global
SciFeCap,SciFeCap Fund LP,Crypto,Crypto,Crypto,Crypto
SCT Capital Management,Adaptive Quant Trading,CTA,Systematic,AI,Global
SEB Group,Alternative Fixed Income,Fixed Income,Credit,Multi Strategy,Europe
SEB Group,Asset Selection,CTA,Systematic,Trend Following,Global
SEB Group,Asset Selection Opportunistic,CTA,Systematic,Trend Following,Global
SEB Group,Diversified,CTA,Systematic,Multi Strategy,Global
SEB Group,Eureka Fixed Income Relative Value,Fixed Income,Discretionary,Market Neutral,Nordic
SEB Group,True Market Neutral,Market Neutral,Fund of Funds,Fundamental,Global
Secquaero Advisors,Cat Bond (Schroders),Fixed Income,Discretionary,Fundamental,Cat Bond
Sector Arc Advisors,Global Lean Hog Ag,CTA,Discretionary,Fundamental,Agricultural
Sector Asset Management,EuroPower Fund,CTA,Discretionary,Fundamental,Energy
Sector Gamma AS,Sector Healthcare Fund,Equity LS,Discretionary,Fundamental,Health Care
Sector Theta AS,Sector Zen Fund,Equity LS,Discretionary,Fundamental,Japan
Securian AM,Securian AM Managed Volatility Eq,Equity LS,Systematic,Tactical,US
Securis,Catastrophe Bond,Fixed Income,Discretionary,Fundamental,Cat Bond
Seguridad Financiera SAS,Coffee Trading Program from Colombia,CTA,Discretionary,Fundamental,Agricultural
Seguridad Financiera SAS,Seguridad Financiera Program,CTA,Discretionary,Fundamental,Commodity
SEI,Multi-Asset Accumulation,AssetAllocation,Discretionary,Diversified,Global
SEI,Multi-Asset Income,AssetAllocation,Discretionary,Diversified,Global
Selwood,Market Neutral Credit (Alma),Fixed Income,Discretionary,Credit,Global
Seneca Invest AG,Procyon Galaxy Trading (P),CTA,Discretionary,Technical,Currency
Seneca Invest AG,Vienna Global - Klimt Fund (P),CTA,Systematic,Multi Strategy,Global
Sentat Asset Management,Thyra Hedge,Equity LS,Discretionary,Fundamental,Global
SeQuant Capital (BTC Excess Returns),BTC Arbitrage,Crypto,Crypto,Crypto,Crypto
Sequent Capital,Fundamental Diversified (V12),CTA,Systematic,Fundamental,Global
Sequential Capital Management,Sequential 1,CTA,Systematic,Short Term,Global
Sequential Capital Management,Sequential 2,CTA,Systematic,Short Term,Global
Sequoia Financial Advisory Services,Commodity Multi System,CTA,Systematic,Multi Strategy,Commodity
Sequoia Hill Capital Management,SHCM British Pound AP,CTA,Systematic,Short Term,Currency
Sequoia Hill Capital Management,SHCM Diversified SST,CTA,Systematic,Multi Strategy,Global
Sequoia Hill Capital Management,SHCM Diversified SST 400,CTA,Systematic,Multi Strategy,Global
Sequoia Hill Capital Management,SHCM Gold AP,CTA,Systematic,Short Term,Metal
Sequoia Hill Capital Management,SHCM Silver AP,CTA,Systematic,Short Term,Metal
Serac,Diversified Reversal Program,CTA,Systematic,Short Term,Commodity
Serac,Gold Reversal Program,CTA,Systematic,Contrarian,Metal
Seven,Diversified Fund,Hedge Fund,Systematic,Trend Following,Global
Seven,Fortress Fund,Market Neutral,Systematic,Multi Strategy,Global
Seven Capital Management,BlackSnake,CTA,Systematic,Trend Following,Global
Seven Capital Management,Seven Absolute Return Fund,CTA,Systematic,Trend Following,Global
Seven Capital Management,Seven Fixed Income Fund,CTA,Systematic,Trend Following,Fixed Income
Seven Seas,Alpha Japan Neutral (Permal),Market Neutral,Discretionary,Fundamental,Asia
SGW Capital Management,Octagon Short Term,CTA,Discretionary,Multi Strategy,Global
SHAD Trading,SHAD - 1,CTA,Systematic,Trend Following,Global
Shannon River,Long/Short Technology (U Access),Equity LS,Discretionary,Fundamental,Technology
Shared Enlightenment,Copula Max NetCreditOps,CTA,Systematic,Option Strategy,Equity
Shared Enlightenment,Copula Max NetDebitOps,CTA,Systematic,Option Strategy,Equity
Sharmac Capital Management,Managed Accounts,CTA,Discretionary,Fundamental,Global
Sharp Mountain Advisors,Diversified Managd Futures,CTA,Discretionary,Fundamental,Commodity
sharpe investments,sharpe futures,CTA,Systematic,Trend Following,Global
Shepherd Energy,Shepherd Energy Portfolio,CTA,Discretionary,Fundamental,Energy
Shepherd Energy,Shepherd Energy Portfolio 2X,CTA,Discretionary,Fundamental,Energy
Shinnecock Partners LP,Shinnecock Futures Fund LP,CTA,Fund of Funds,Diversified,Global
Shri Capital,Investment Program,CTA,Discretionary,Option Writer,Equity
Shri Capital,SP Premium,CTA,Discretionary,Option Writer,Equity
Shuttle Fund Advisor,Shuttle Fund Advisor,Crypto,Crypto,Crypto,Crypto
Sibilla Capital,Sibilla Macro (HI),Hedge Fund,Discretionary,Macro,Global
Side Op,Trading Program,CTA,Discretionary,Option Writer,Global
Sidewinder Investment AG,Sidewinder Energy Fund Ltd,CTA,Discretionary,Market Neutral,Energy
Sigma Advanced Capital Management,Carbon Neutral Alpha Program,CTA,Discretionary,Fundamental,ESG
Sigma Advanced Capital Management,Global Advanced Futures and Spread,CTA,Discretionary,Technical,Commodity
Silicon Valley Quantitative Advisors,Contrarian S&P 500 Quantitative Program (CSQP),CTA,Systematic,Contrarian,Equity
Silicon Valley Quantitative Advisors,US Quantitative Portfolio (UQP),CTA,Systematic,Multi Strategy,Global
Silver,Time Gravity Plus,Market Neutral,Systematic,Multi Strategy,Europe
Silver Tide Management,Systematic Global Macro,CTA,Systematic,Multi Strategy,Global
Silverback Managed Futures PA,SilverBack Managed Futures,CTA,Discretionary,Short Term,Equity
SilverPepper,SilverPepper Merger Arbitrage,Event Driven,MergerArb,Fundamental,US
SinoPac Asset Management Asia,Multi Strat Quant Fund,CTA,Systematic,Multi Strategy,Global
Sirios,Sirios Long/Short,Equity LS,Discretionary,Fundamental,US
Sirius,Sirius S&P Strategic Large-Cap,Equity LS,Discretionary,Fundamental,US
Sissener AS,Sissener Canopus,Hedge Fund,Discretionary,Fundamental,Nordic
Six Alpha Capital Advisors,ES Program,CTA,Systematic,Multi Strategy,Equity
SIYA Investments,Dynamic Trading Program,CTA,Systematic,Short Term,Global
Sizemore Capital Management,Blue Orbit Capital,CTA,Discretionary,Option Strategy,Equity
Skandinaviska Kreditfonden,Scandinavian Credit Fund I,Fixed Income,Discretionary,Fundamental,Private Loans
Skibo Asset Management,Bond And Currency Program,CTA,Systematic,Trend Following,Global
Skibo Asset Management,Bond Program,CTA,Systematic,Trend Following,Fixed Income
Skibo Asset Management,Currency Program,CTA,Systematic,Trend Following,Currency
Skibo Asset Management,Diversified Program,CTA,Systematic,Trend Following,Global
Sky Crypto Strategies,SKYCRYPTOSTRATEGIES,Crypto,Crypto,Crypto,Crypto
SkyDelta Capital Management,Delta Trading Program,CTA,Systematic,Trend Following,Global
Skylark Capital Management,Treasury Program,CTA,Systematic,Short Term,Fixed Income
Slavic Mjolnir,YODAFUND,Crypto,Crypto,Crypto,Crypto
Sloane Robinson,Emerging (Keplar),Equity LS,Discretionary,Fundamental,Emerging
SM Investment Advisors,SMAA Managed Trading Accou,CTA,Discretionary,Option Strategy,Equity
Smanders Capital,Opening Wave,CTA,Systematic,Short Term,Equity
Smart Crypto,SMARTCRYPTO,Crypto,Crypto,Crypto,Crypto
Smart Hamster,CORCAP,Crypto,Crypto,Crypto,Crypto
SMI,Dynamic Allocation,AssetAllocation,Systematic,Diversified,Global
SMILe Global Management Limited,SMILe Managed Currency Account (JD Standard),CTA,Discretionary,Technical,Currency
SMILe Global Management Limited,SMILe Managed Currency Account (SD Standard),CTA,Discretionary,Technical,Currency
SMILe Global Management Limited,SMILe Managed Currency Account (YB Standard),CTA,Discretionary,Fundamental,Global
Smith & Williamson,Enterprise,Equity LS,Discretionary,Fundamental,Europe
Smith Futures Management,Liberty Program,CTA,Systematic,Fundamental,Commodity
SMJ Capital Management,Systematic Currency Futures,CTA,Systematic,Multi Strategy,Currency
SMJ Capital Management,Systematic FX,CTA,Systematic,Multi Strategy,Currency
SMN Investment Services,SMN Diversified Futures Fund,CTA,Systematic,Trend Following,Global
SMN Investment Services,Structural Alpha Trend,CTA,Systematic,Multi Strategy,Commodity
Snow Capital,Snow Capital Long/Short Opportunity,Equity LS,Discretionary,Value,US
Snowbridge Asset Management,Projective Trend Program,CTA,Systematic,Trend Following,Global
Soaring Pelican,Diversified S&P,CTA,Systematic,Multi Strategy,Equity
Soaring Pelican,S&P Multiday Hybrid Program,CTA,Systematic,Multi Strategy,Equity
Solaise Capital Management,Systematic Fund,CTA,Systematic,Trend Following,Global
Solaris Opportunity Offshore F,Investment Program,CTA,Discretionary,Option Strategy,Equity
Solidum Capital,Bitcoin Momentum Strategy,Crypto,Crypto,Crypto,Crypto
Solidum Capital,SOAC Solidum Actio Crypto Growth Strategy,Crypto,Crypto,Crypto,Crypto
Solidum Capital,Solidum Actio,Crypto,Crypto,Crypto,Crypto
Solidum Capital,Solidum Cautus,Crypto,Crypto,Crypto,Crypto
Solidum Capital,Solidum Crypto Quant Strategy,Crypto,Crypto,Crypto,Crypto
Solidum Capital,Solidum Prime Digital Fund,Crypto,Crypto,Crypto,Crypto
Solidum Capital,SOPR Solidum Cautus Crypto Hedge Strategy,Crypto,Crypto,Crypto,Crypto
Solys Via,Smart Income Europe,Equity LS,Discretionary,Multi Strategy,Europe
Somers Brothers Capital,Diversified Futures #1,CTA,Systematic,Trend Following,Global
Sona Trading,Sona Trading Strategies,CTA,Systematic,Trend Following,Global
Sonya Capital Management,Sonya Capital Partners LLC,CTA,Discretionary,Fundamental,Global
Sophic Associates,Macro,CTA,Discretionary,Trend Following,Global
Sortino Index,BELAV1,Crypto,Crypto,Crypto,Crypto
Southport Energy Asset Management,Southport Energy,CTA,Systematic,Fundamental,Energy
Southwest Managed Investments,Global Diversified,CTA,Systematic,Trend Following,Global
Sparta Administradora de Recursosa,Sparta Anti Ciclico Fundo De Investimento Multimercado,CTA,Discretionary,Fundamental,Global
Sparta Administradora de Recursosa,Sparta Ciclico Fundo De Investimento Multimercado,CTA,Discretionary,Fundamental,Global
Sparta Administradora de Recursosa,Sparta Global Funds - Trends SP - Class B,CTA,Discretionary,Fundamental,Global
Spartan Fund Management,Dorset Fund,CTA,Discretionary,Market Neutral,Global
Spectrum Advisors,Preferred Investor,AssetAllocation,Discretionary,Diversified,Global
Spectrum Asset Management,Global Diversified,CTA,Systematic,Multi Strategy,Global
Splendor Capital Management,Credence Global,CTA,Systematic,Market Neutral,Commodity
SpreadEdge Capital,Agriculture Seasonal Spreads,CTA,Systematic,Market Neutral,Agricultural
SpreadEdge Capital,Commodity Seasonal Spread Program,CTA,Systematic,Seasonal,Commodity
SpreadEdge Capital,Diversified Seasonal Spread,CTA,Systematic,Market Neutral,Commodity
SpreadEdge Capital,Energy Seasonal Spread,CTA,Systematic,Market Neutral,Energy
SpreadEdge Capital,Inter-Commodity Spread Program,CTA,Systematic,Market Neutral,Commodity
SPRING (Specialised Research and Investment Group),SPRING Simoleon Long-Term Value,Crypto,Crypto,Crypto,Crypto
Spring Valley Asset Management,Commodity Advantage Portfolio,CTA,Systematic,Multi Strategy,Commodity
Spring Valley Asset Management,Diversified Alpha Portfolio,CTA,Systematic,Multi Strategy,Global
Spring Valley Asset Management,Tactical Trend Portfolio,CTA,Systematic,Trend Following,Global
SRT Technologies,SRT Currency Programme,CTA,Systematic,Trend Following,Currency
SRV Capital,Investin SRV  Fixed Income,Fixed Income,Credit,Fundamental,Europe
SSARIS Advisors,Active Commodity Strategy,CTA,Systematic,Multi Strategy,Commodity
SSARIS Advisors,Alpha Enhanced Equity,LongOnly,Systematic,Trend Following,Global
SSARIS Advisors,Diversified Trading,CTA,Systematic,Trend Following,Global
SSARIS Advisors,Global Multi-Strategy,CTA,Systematic,Trend Following,Global
SSARIS Advisors,Multisource Active Commodity,CTA,Systematic,Multi Strategy,Commodity
SSARIS Advisors,Securitized Note,CTA,Systematic,Trend Following,Global
SSARIS Advisors,Short Term Momentum,CTA,Systematic,Short Term,Global
St Petri Capital,LongShort,Equity LS,Discretionary,Fundamental,Europe
Stable WCI,STABLEWCI,Crypto,Crypto,Crypto,Crypto
Stadion,Tactical Defensive,LongOnly,Systematic,Diversified,Equity
Stadion,Tactical Growth,LongOnly,Systematic,Diversified,Equity
Standard Life,Absolute Global Bond,Fixed Income,Discretionary,Fundamental,Global
Standard Life,Global Focused Strategies,AssetAllocation,Discretionary,Multi Strategy,Global
Statar Capital,Natural Gas Strategy,CTA,Discretionary,Fundamental,Energy
Steadfast Resource Associates,Index Options Program,CTA,Discretionary,Option Writer,Equity
Steben,Managed Futures Strategy,CTA,Fund of Funds,Diversified,Global
Stein Investment Management,Trading Edge,CTA,Systematic,Short Term,Equity
Stein Investment Management,Trading Evolution,CTA,Systematic,Short Term,Equity
Stein Investment Management,Trading Phoenix,CTA,Systematic,Short Term,Equity
Stenger Capital Management,Diversified Trading Program,CTA,Discretionary,Technical,Global
Sterling Partners Quantitative Investments,SPQI Global Diversified,CTA,Systematic,Multi Strategy,Global
Stern & Stern Securities,Stern & Stern Securities Inc.,CTA,Systematic,Multi Strategy,Equity
Steward Trading Group,Premium Futures Option Program,CTA,Discretionary,Option Writer,Global
Stockyard Trading,Livestock Program,CTA,Discretionary,Fundamental,Agricultural
Stonebrook Structured Products,Stonebrook Fx Carry Program 25x,CTA,Systematic,Fundamental,Currency
Stonefarm,Global and Emerging,Fixed Income,Discretionary,Fundamental,Emerging
Strat Asset Management,Global Diversified,CTA,Systematic,Trend Following,Global
Strategic Ag Trading,Chatham,CTA,Discretionary,Fundamental,Commodity
Strategic Ag Trading,SAT CERES,CTA,Discretionary,Fundamental,Agricultural
Strategic Ag Trading,SAT GRAINS,CTA,Discretionary,Fundamental,Agricultural
Strategic Capital Advisors (Paskewitz),Contrarian S&P Program,CTA,Systematic,Short Term,Equity
Strategic Capital Advisors (Paskewitz),Contrarian S&P Program LongFlat,CTA,Systematic,Short Term,Equity
Strategic Capital Advisors (Paskewitz),Cross Asset Program,CTA,Systematic,AI,Global
Strategic Capital Advisors (Paskewitz),Global Contrarian Stock Index,CTA,Systematic,Contrarian,Equity
Strategic Capital Advisors (Paskewitz),Multi-Strategy Futures,CTA,Systematic,Multi Strategy,Global
Strategic Capital Advisors (Paskewitz),Strategic Commodities Program,CTA,Systematic,Multi Strategy,Equity
Strategic Global Advisors,Global Select L/S,CTA,Systematic,Short Term,Global
Strategic Investments,Commodity Program,CTA,Discretionary,Fundamental,Commodity
Strategic Investments,Equity Hedge Program,CTA,Discretionary,Technical,Equity
Strategic Trading Associates,QWM-1x,CTA,Systematic,Short Term,Global
Stratford Capital Management,Equity Index,CTA,Discretionary,Fundamental,Equity
Strix Leviathan,Nest Fund,Crypto,Crypto,Crypto,Crypto
STRM Capital Management,STRM Capital Fund,CTA,Systematic,Short Term,Global
StrongCoindex,SCX StrongCoindex,Crypto,Crypto,Crypto,Crypto
Structured Markets,Structured Markets Inc.,CTA,Systematic,Short Term,Global
Structured Markets,Structured Markets Inc. 2x Standard Leverage,CTA,Systematic,Short Term,Global
Structured Markets,Structured Markets Inc. Proprietary Trading Program,CTA,Systematic,Short Term,Global
Strukturinvest Fondkommission (FK),Hamiltonian Global Credit Opportunity Fund,Fixed Income,Discretionary,Fundamental,Credit
Sugar Creek Investment Management,Cotton RV,CTA,Discretionary,Fundamental,Agricultural
Sugar Creek Investment Management,Dairy Arbitrage,CTA,Discretionary,Fundamental,Agricultural
Sugar Creek Investment Management,Geneva Commodities,CTA,Discretionary,Fundamental,Agricultural
Sugar Creek Investment Management,Heritage Agricultural,CTA,Discretionary,Fundamental,Agricultural
Summa Capital Management,Options Spread Trading Program,CTA,Discretionary,Option Writer,Equity
Summit,Sustainable Opportunities,Equity LS,Discretionary,Fundamental,Global
Suninghill,Global Capital Program,CTA,Discretionary,Fundamental,Currency
Suninghill,Suninghill Global Option Program,CTA,Discretionary,Option Writer,Equity
Sunrise Capital Partners,Evolution,CTA,Systematic,Trend Following,Global
Sunrise Capital Partners,U.S. Equity Optimized Growth,CTA,Systematic,Trend Following,Equity
Superfund Capital Management,Green Gold 1.5x,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green Gold 1x,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green Gold 2x,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green Silver SICAV,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green SPC 1.5x,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green SPC 1x,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green SPC 1x*,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green SPC 2x,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green SPC 2x*,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Green SPC 2x**,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Managed Futures Strategy,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Superfund Green Gold L.P. Series A-1,CTA,Systematic,Trend Following,Global
Superfund Capital Management,Superfund Red One SP 1.5x,CTA,Systematic,Short Term,Global
Superfund Capital Management,Superfund Red One SP 1x,CTA,Systematic,Short Term,Global
Superfund Capital Management,Superfund Red One SP 2x,CTA,Systematic,Short Term,Global
SuperTrend Capital Management,High Frequency Forex,CTA,Systematic,Short Term,Global
Sustainable Crypto Selection,SCS Sustainable Crypto Selection,Crypto,Crypto,Crypto,Crypto
Swan,Defined Risk Emerging Markets,AssetAllocation,Discretionary,Option Strategy,Equity
Swan,Defined Risk Foreign Developed,AssetAllocation,Discretionary,Option Strategy,Equity
Swan,Swan Defined Risk,AssetAllocation,Discretionary,Option Strategy,Equity
Swan,Swan Defined Risk Growth Fund,AssetAllocation,Discretionary,Option Strategy,Equity
Swan,Swan Defined Risk US Small Cap Fund,AssetAllocation,Discretionary,Option Strategy,Equity
Swing Capital,Swing FX,CTA,Systematic,Short Term,Currency
Swiss Managed Futures,Equity Index Gap Trade,CTA,Systematic,Short Term,Equity
Swiss Managed Futures,Equity Index Gap Trade II,CTA,Systematic,Short Term,Equity
Swiss Rock,Gold Nachhaltig,LongOnly,Active Index,Multi Strategy,Metal
Swiss Systematic Asset Management,Swiss Systematic Short Trends Ltd,CTA,Systematic,Short Term,Global
Swisscanto,Commodity Fund Diversified ESG Integrated,LongOnly,Active Index,Diversified,Commodity
SwissRex AG,SwissRex Crypto Fund Ltd,Crypto,Crypto,Crypto,Crypto
SWMC,European Fund,Equity LS,Discretionary,Fundamental,Europe
SWMC,Small Cap European,Equity LS,Discretionary,Fundamental,Europe
Sycomore,LS Opportunities,Equity LS,Discretionary,Fundamental,Europe
Symmetry Global Advisors,Symmetry Global Trading Opportunities Fund,CTA,Fund of Funds,Diversified,Global
Symmetry Invest,Symmetry Invest AS,Equity LS,Discretionary,Fundamental,Europe
Synchronicity Futures,ChainLogic Fund,Crypto,Crypto,Crypto,Crypto
Synchronicity Futures,ChainLogic Fund SMA,Crypto,Crypto,Crypto,Crypto
Synchronicity Futures,Commodity Long-Short,CTA,Systematic,Multi Strategy,Commodity
Synchronicity Futures,Continuum Trend (PROP),CTA,Systematic,Multi Strategy,Global
Synchronicity Futures,Synchronicity Futures,CTA,Systematic,Contrarian,Global
Synergie Capital Management,Synergie Focused Strategy,CTA,Systematic,Multi Strategy,Global
Synerginvest,CopulaMax ArbitrageMaste,CTA,Systematic,Market Neutral,Global
Synerginvest,CopulaMax RunnerCatche,CTA,Systematic,Market Neutral,Global
Synerginvest,CopulaMax SynergOp,CTA,Systematic,Multi Strategy,Global
Synerginvest,CopulaMax VolOp,CTA,Systematic,Option Strategy,Global
Syquant,Helium,Event Driven,MergerArb,Fundamental,Global
Syquant,Helium Invest,Fixed Income,Discretionary,Fundamental,Global
Syquant,Helium Performance,Event Driven,MergerArb,Fundamental,Global
Syquant,Helium Selection,Event Driven,MergerArb,Fundamental,Global
SyRIO,SyMA (Systematic Multi-asset Allocation),CTA,Systematic,Multi Strategy,Global
SysCat Capital,Niche Quantitative Strategies,CTA,Systematic,Short Term,Global
Sysmatic Trading Solutions,Global Hedge Plus,CTA,Systematic,Trend Following,Global
Systematic Alpha Management,Cryptocurrency Program,Crypto,Crypto,Crypto,Crypto
Systematic Alpha Management,Cryptocurrency Program Fund,Crypto,Crypto,Crypto,Crypto
Systematic Alpha Management,Futures Fund Ltd 1x,CTA,Systematic,Short Term,Equity
Systematic Alpha Management,Futures Fund Ltd 2x,CTA,Systematic,Short Term,Equity
Systematic Alpha Management,Gateway Systematic Alpha UCITS,CTA,Systematic,Short Term,Equity
Systematic Alpha Management,Systematic Alpha FX 2x,CTA,Systematic,Short Term,Currency
Systematic Alpha Management,Systematic Alpha FX 3X,CTA,Systematic,Short Term,Currency
Systematic Alpha Management,Systematic Alpha FX 4X,CTA,Systematic,Short Term,Currency
Systematic Alpha Management,Systematic Alpha FX Strategy,CTA,Systematic,Short Term,Currency
Systematic Alpha Management,Systematic Alpha Intraday,CTA,Systematic,Short Term,Equity
Systematic Alpha Management,Systematic Alpha Multi-Strategy 1x,CTA,Systematic,Short Term,Equity
Systematic Alpha Management,Systematic Alpha Multi-Strategy 2x,CTA,Systematic,Short Term,Equity
Systematic Management,Currencies,CTA,Systematic,Trend Following,Currency
Systematica Investments,Alternative Risk Premia,RiskPremia,Systematic,Multi Strategy,Global
Systematica Investments,BlueTrend Fund,CTA,Systematic,Trend Following,Global
Systematica Investments,BlueTrend Fund (Equinox),CTA,Systematic,Trend Following,Global
Systematica Investments,Systematica Synergy,CTA,Systematic,Multi Strategy,Global
Systematica Investments,Systematica Trend Following,CTA,Systematic,Trend Following,Global
SYZ,Absolute Return,AssetAllocation,Discretionary,Fundamental,Global
SZ Trading,Global Diversified Higher Leveraged Trend Program,CTA,Systematic,Trend Following,Global
SZKB,Ethikfonds Ausgewogen,LongOnly,Active Index,Fundamental,ESG
SZKB,Ethikfonds Einkommen,LongOnly,Active Index,Fundamental,ESG
SZKB,Indexanlagen Kapitalgewinn,AssetAllocation,Discretionary,Fundamental,Global
SZKB,Strategiefonds Wachstum,AssetAllocation,Discretionary,Fundamental,Global
SZKB,Strategiefonds Zinsertrag Plus,AssetAllocation,Discretionary,Fundamental,Global
T2 ASSOCIATES,Contrary #1,CTA,Systematic,Short Term,Equity
t24 Capital,Quantitative Strategies,CTA,Systematic,Short Term,Global
t24 Capital,t24 Capital Partners Master Fund,CTA,Systematic,Short Term,Global
t24 Capital,TCM Global Index Fund,CTA,Systematic,Short Term,Global
t24 Capital,TCM Global Index Fund (Growth),CTA,Systematic,Short Term,Global
t24 Capital,TCM Global Index Fund Flagship (Cayman),CTA,Systematic,Short Term,Global
T4t,Borromeo Program,CTA,Systematic,Multi Strategy,Global
T4t,Gritti Program,CTA,Systematic,Multi Strategy,Global
T4t,System Program,CTA,Systematic,Short Term,Global
Tactical Investment Management Corp,Institutional Commodity,CTA,Systematic,Trend Following,Commodity
Tactical Investment Management Corp,Multistrategy Commodity,CTA,Systematic,Trend Following,Global
Tages,Paladin,CTA,Systematic,Multi Strategy,Global
Taiga Fund Management AS,Taiga Fund,Equity LS,Discretionary,Value,Global
Talenta Capital,Diversified Fund,CTA,Systematic,Trend Following,Global
Talenta Capital,Multi-Strategy,CTA,Systematic,Multi Strategy,Global
Talenta Capital,Talenta CTA Fund,CTA,Systematic,Trend Following,Global
Tamarkin Managed Futures,Investment Program,CTA,Discretionary,Technical,Commodity
Tamhill,Tamhill 1.30,CTA,Systematic,Short Term,Currency
Tamhill,Tamhill Power,CTA,Systematic,Short Term,Currency
